adm2_code,adm2_name,entidad,facilities
MX14076,San Martín de Bolaños,Jalisco,3
MX14077,San Martín Hidalgo,Jalisco,9
MX14078,San Miguel el Alto,Jalisco,7
MX14079,Gómez Farías,Jalisco,4
MX14080,San Sebastián del Oeste,Jalisco,2
MX14081,Santa María de los Ángeles,Jalisco,3
MX14082,Sayula,Jalisco,7
MX14083,Tala,Jalisco,18
MX14084,Talpa de Allende,Jalisco,7
MX14085,Tamazula de Gordiano,Jalisco,11
MX14086,Tapalpa,Jalisco,5
MX14087,Tecalitlán,Jalisco,4
MX14088,Tecolotlán,Jalisco,6
MX14089,Techaluta de Montenegro,Jalisco,2
MX14090,Tenamaxtlán,Jalisco,4
MX14091,Teocaltiche,Jalisco,13
MX14092,Teocuitatlán de Corona,Jalisco,4
MX14093,Tepatitlán de Morelos,Jalisco,30
MX14094,Tequila,Jalisco,10
MX14095,Teuchitlán,Jalisco,6
MX14096,Tizapán el Alto,Jalisco,7
MX14097,Tlajomulco de Zúñiga,Jalisco,73
MX14098,San Pedro Tlaquepaque,Jalisco,75
MX14099,Tolimán,Jalisco,3
MX14100,Tomatlán,Jalisco,15
MX14101,Tonalá,Jalisco,53
MX14102,Tonaya,Jalisco,1
MX14103,Tonila,Jalisco,3
MX14104,Totatiche,Jalisco,2
MX14105,Tototlán,Jalisco,4
MX14106,Tuxcacuesco,Jalisco,2
MX14107,Tuxcueca,Jalisco,3
MX14108,Tuxpan,Jalisco,6
MX14109,Unión de San Antonio,Jalisco,5
MX14110,Unión de Tula,Jalisco,6
MX14111,Valle de Guadalupe,Jalisco,1
MX14112,Valle de Juárez,Jalisco,4
MX14113,San Gabriel,Jalisco,10
MX14114,Villa Corona,Jalisco,8
MX14115,Villa Guerrero,Jalisco,3
MX14116,Villa Hidalgo,Jalisco,5
MX14117,Cañadas de Obregón,Jalisco,2
MX14118,Yahualica de González Gallo,Jalisco,10
MX14119,Zacoalco de Torres,Jalisco,9
MX14120,Zapopan,Jalisco,290
MX14121,Zapotiltic,Jalisco,8
MX14122,Zapotitlán de Vadillo,Jalisco,2
MX14123,Zapotlán del Rey,Jalisco,4
MX14124,Zapotlanejo,Jalisco,16
MX14125,San Ignacio Cerro Gordo,Jalisco,4
MX15001,Acambay de Ruíz Castañeda,México,27
MX15002,Acolman,México,30
MX15003,Aculco,México,23
MX15004,Almoloya de Alquisiras,México,7
MX15005,Almoloya de Juárez,México,34
MX15006,Almoloya del Río,México,2
MX15007,Amanalco,México,9
MX15008,Amatepec,México,16
MX15009,Amecameca,México,12
MX15010,Apaxco,México,6
MX15011,Atenco,México,10
MX15012,Atizapán,México,3
MX15013,Atizapán de Zaragoza,México,86
MX15014,Atlacomulco,México,39
MX15015,Atlautla,México,5
MX15016,Axapusco,México,9
MX15017,Ayapango,México,3
MX15018,Calimaya,México,8
MX15019,Capulhuac,México,8
MX15020,Coacalco de Berriozábal,México,26
MX15021,Coatepec Harinas,México,14
MX15022,Cocotitlán,México,3
MX15023,Coyotepec,México,4
MX15024,Cuautitlán,México,30
MX15025,Chalco,México,54
MX15026,Chapa de Mota,México,10
MX15027,Chapultepec,México,2
MX15028,Chiautla,México,6
MX15029,Chicoloapan,México,19
MX15030,Chiconcuac,México,2
MX15031,Chimalhuacán,México,48
MX15032,Donato Guerra,México,10
MX15033,Ecatepec de Morelos,México,137
MX15034,Ecatzingo,México,3
MX15035,Huehuetoca,México,18
MX15036,Hueypoxtla,México,7
MX15037,Huixquilucan,México,34
MX15038,Isidro Fabela,México,3
MX15039,Ixtapaluca,México,51
MX15040,Ixtapan de la Sal,México,14
MX15041,Ixtapan del Oro,México,4
MX15042,Ixtlahuaca,México,48
MX15043,Xalatlaco,México,5
MX15044,Jaltenco,México,2
MX15045,Jilotepec,México,30
MX15046,Jilotzingo,México,4
MX15047,Jiquipilco,México,17
MX15048,Jocotitlán,México,19
MX15049,Joquicingo,México,5
MX15050,Juchitepec,México,4
MX15051,Lerma,México,30
MX15052,Malinalco,México,8
MX15053,Melchor Ocampo,México,7
MX15054,Metepec,México,61
MX15055,Mexicaltzingo,México,1
MX15056,Morelos,México,12
MX15057,Naucalpan de Juárez,México,151
MX15058,Nezahualcóyotl,México,151
MX15059,Nextlalpan,México,8
MX15060,Nicolás Romero,México,45
MX15061,Nopaltepec,México,3
MX15062,Ocoyoacac,México,11
MX15063,Ocuilan,México,12
MX15064,El Oro,México,17
MX15065,Otumba,México,10
MX15066,Otzoloapan,México,2
MX15067,Otzolotepec,México,15
MX15068,Ozumba,México,5
MX15069,Papalotla,México,1
MX15070,La Paz,México,27
MX15071,Polotitlán,México,7
MX15072,Rayón,México,5
MX15073,San Antonio la Isla,México,3
MX15074,San Felipe del Progreso,México,46
MX15075,San Martín de las Pirámides,México,6
MX15076,San Mateo Atenco,México,22
MX15077,San Simón de Guerrero,México,5
MX15078,Santo Tomás,México,4
MX15079,Soyaniquilpan de Juárez,México,5
MX15080,Sultepec,México,14
MX15081,Tecámac,México,54
MX15082,Tejupilco,México,27
MX15083,Temamatla,México,3
MX15084,Temascalapa,México,10
MX15085,Temascalcingo,México,21
MX15086,Temascaltepec,México,18
MX15087,Temoaya,México,31
MX15088,Tenancingo,México,18
MX15089,Tenango del Aire,México,3
MX15090,Tenango del Valle,México,16
MX15091,Teoloyucan,México,8
MX15092,Teotihuacán,México,13
MX15093,Tepetlaoxtoc,México,7
MX15094,Tepetlixpa,México,7
MX15095,Tepotzotlán,México,12
MX15096,Tequixquiac,México,6
MX15097,Texcaltitlán,México,5
MX15098,Texcalyacac,México,2
MX15099,Texcoco,México,57
MX15100,Tezoyuca,México,4
MX15101,Tianguistenco,México,23
MX15102,Timilpan,México,7
MX15103,Tlalmanalco,México,6
MX15104,Tlalnepantla de Baz,México,135
MX15105,Tlatlaya,México,20
MX15106,Toluca,México,205
MX15107,Tonatico,México,3
MX15108,Tultepec,México,14
MX15109,Tultitlán,México,47
MX15110,Valle de Bravo,México,19
MX15111,Villa de Allende,México,14
MX15112,Villa del Carbón,México,10
MX15113,Villa Guerrero,México,14
MX15114,Villa Victoria,México,27
MX15115,Xonacatlán,México,11
MX15116,Zacazonapan,México,1
MX15117,Zacualpan,México,9
MX15118,Zinacantepec,México,32
MX15119,Zumpahuacán,México,7
MX15120,Zumpango,México,35
MX15121,Cuautitlán Izcalli,México,62
MX15122,Valle de Chalco Solidaridad,México,36
MX15123,Luvianos,México,15
MX15124,San José del Rincón,México,40
MX15125,Tonanitla,México,2
MX16001,Acuitzio,Michoacán de Ocampo,4
MX16002,Aguililla,Michoacán de Ocampo,3
MX16003,Álvaro Obregón,Michoacán de Ocampo,11
MX16004,Angamacutiro,Michoacán de Ocampo,5
MX16005,Angangueo,Michoacán de Ocampo,3
MX16006,Apatzingán,Michoacán de Ocampo,32
MX16007,Aporo,Michoacán de Ocampo,1
MX16008,Aquila,Michoacán de Ocampo,7
MX16009,Ario,Michoacán de Ocampo,8
MX16010,Arteaga,Michoacán de Ocampo,7
MX16011,Briseñas,Michoacán de Ocampo,3
MX16012,Buenavista,Michoacán de Ocampo,5
MX16013,Carácuaro,Michoacán de Ocampo,3
MX16014,Coahuayana,Michoacán de Ocampo,7
MX16015,Coalcomán de Vázquez Pallares,Michoacán de Ocampo,4
MX16016,Coeneo,Michoacán de Ocampo,8
MX16017,Contepec,Michoacán de Ocampo,10
MX16018,Copándaro,Michoacán de Ocampo,3
MX16019,Cotija,Michoacán de Ocampo,7
MX16020,Cuitzeo,Michoacán de Ocampo,8
MX16021,Charapan,Michoacán de Ocampo,2
MX16022,Charo,Michoacán de Ocampo,4
MX16023,Chavinda,Michoacán de Ocampo,2
MX16024,Cherán,Michoacán de Ocampo,3
MX16025,Chilchota,Michoacán de Ocampo,10
MX16026,Chinicuila,Michoacán de Ocampo,2
MX16027,Chucándiro,Michoacán de Ocampo,4
MX16028,Churintzio,Michoacán de Ocampo,5
MX16029,Churumuco,Michoacán de Ocampo,2
MX16030,Ecuandureo,Michoacán de Ocampo,1
MX16031,Epitacio Huerta,Michoacán de Ocampo,8
MX16032,Erongarícuaro,Michoacán de Ocampo,2
MX16033,Gabriel Zamora,Michoacán de Ocampo,4
MX16034,Hidalgo,Michoacán de Ocampo,31
MX16035,La Huacana,Michoacán de Ocampo,7
MX16036,Huandacareo,Michoacán de Ocampo,7
MX16037,Huaniqueo,Michoacán de Ocampo,4
MX16038,Huetamo,Michoacán de Ocampo,15
MX16039,Huiramba,Michoacán de Ocampo,4
MX16040,Indaparapeo,Michoacán de Ocampo,5
MX16041,Irimbo,Michoacán de Ocampo,3
MX16042,Ixtlán,Michoacán de Ocampo,2
MX16043,Jacona,Michoacán de Ocampo,9
MX16044,Jiménez,Michoacán de Ocampo,5
MX16045,Jiquilpan,Michoacán de Ocampo,9
MX16046,Juárez,Michoacán de Ocampo,3
MX16047,Jungapeo,Michoacán de Ocampo,7
MX16048,Lagunillas,Michoacán de Ocampo,2
MX16049,Madero,Michoacán de Ocampo,10
MX16050,Maravatío,Michoacán de Ocampo,34
MX16051,Marcos Castellanos,Michoacán de Ocampo,4
MX16052,Lázaro Cárdenas,Michoacán de Ocampo,62
MX16053,Morelia,Michoacán de Ocampo,270
MX16054,Morelos,Michoacán de Ocampo,5
MX16055,Múgica,Michoacán de Ocampo,11
MX16056,Nahuatzen,Michoacán de Ocampo,7
MX16057,Nocupétaro,Michoacán de Ocampo,4
MX16058,Nuevo Parangaricutiro,Michoacán de Ocampo,1
MX16059,Nuevo Urecho,Michoacán de Ocampo,2
MX16060,Numarán,Michoacán de Ocampo,5
MX16061,Ocampo,Michoacán de Ocampo,2
MX16062,Pajacuarán,Michoacán de Ocampo,4
MX16063,Panindícuaro,Michoacán de Ocampo,5
MX16064,Parácuaro,Michoacán de Ocampo,4
MX16065,Paracho,Michoacán de Ocampo,8
MX16066,Pátzcuaro,Michoacán de Ocampo,28
MX16067,Penjamillo,Michoacán de Ocampo,7
MX16068,Peribán,Michoacán de Ocampo,6
MX16069,La Piedad,Michoacán de Ocampo,30
MX16070,Purépero,Michoacán de Ocampo,7
MX16071,Puruándiro,Michoacán de Ocampo,31
MX16072,Queréndaro,Michoacán de Ocampo,5
MX16073,Quiroga,Michoacán de Ocampo,10
MX16074,Cojumatlán de Régules,Michoacán de Ocampo,1
MX16075,Los Reyes,Michoacán de Ocampo,17
MX16076,Sahuayo,Michoacán de Ocampo,18
MX16077,San Lucas,Michoacán de Ocampo,2
MX16078,Santa Ana Maya,Michoacán de Ocampo,5
MX16079,Salvador Escalante,Michoacán de Ocampo,9
MX16080,Senguio,Michoacán de Ocampo,4
MX16081,Susupuato,Michoacán de Ocampo,1
MX16082,Tacámbaro,Michoacán de Ocampo,17
MX16083,Tancítaro,Michoacán de Ocampo,6
MX16084,Tangamandapio,Michoacán de Ocampo,7
MX16085,Tangancícuaro,Michoacán de Ocampo,9
MX16086,Tanhuato,Michoacán de Ocampo,4
MX16087,Taretan,Michoacán de Ocampo,5
MX16088,Tarímbaro,Michoacán de Ocampo,23
MX16089,Tepalcatepec,Michoacán de Ocampo,8
MX16090,Tingambato,Michoacán de Ocampo,4
MX16091,Tingüindín,Michoacán de Ocampo,2
MX16092,Tiquicheo de Nicolás Romero,Michoacán de Ocampo,5
MX16093,Tlalpujahua,Michoacán de Ocampo,7
MX16094,Tlazazalca,Michoacán de Ocampo,3
MX16095,Tocumbo,Michoacán de Ocampo,3
MX16096,Tumbiscatío,Michoacán de Ocampo,2
MX16097,Turicato,Michoacán de Ocampo,7
MX16098,Tuxpan,Michoacán de Ocampo,7
MX16099,Tuzantla,Michoacán de Ocampo,6
MX16100,Tzintzuntzan,Michoacán de Ocampo,3
MX16101,Tzitzio,Michoacán de Ocampo,5
MX16102,Uruapan,Michoacán de Ocampo,70
MX16103,Venustiano Carranza,Michoacán de Ocampo,6
MX16104,Villamar,Michoacán de Ocampo,2
MX16105,Vista Hermosa,Michoacán de Ocampo,8
MX16106,Yurécuaro,Michoacán de Ocampo,9
MX16107,Zacapu,Michoacán de Ocampo,28
MX16108,Zamora,Michoacán de Ocampo,45
MX16109,Zináparo,Michoacán de Ocampo,1
MX16110,Zinapécuaro,Michoacán de Ocampo,14
MX16111,Ziracuaretiro,Michoacán de Ocampo,3
MX16112,Zitácuaro,Michoacán de Ocampo,34
MX16113,José Sixto Verduzco,Michoacán de Ocampo,5
MX17001,Amacuzac,Morelos,7
MX17002,Atlatlahucan,Morelos,4
MX17003,Axochiapan,Morelos,15
MX17004,Ayala,Morelos,21
MX17005,Coatlán del Río,Morelos,6
MX17006,Cuautla,Morelos,77
MX17007,Cuernavaca,Morelos,158
MX17008,Emiliano Zapata,Morelos,22
MX17009,Huitzilac,Morelos,7
MX17010,Jantetelco,Morelos,6
MX17011,Jiutepec,Morelos,55
MX17012,Jojutla,Morelos,30
MX17013,Jonacatepec,Morelos,8
MX17014,Mazatepec,Morelos,3
MX17015,Miacatlán,Morelos,8
MX17016,Ocuituco,Morelos,6
MX17017,Puente de Ixtla,Morelos,20
MX17018,Temixco,Morelos,36
MX17019,Tepalcingo,Morelos,12
MX17020,Tepoztlán,Morelos,13
MX17021,Tetecala,Morelos,6
MX17022,Tetela del Volcán,Morelos,6
MX17023,Tlalnepantla,Morelos,2
MX17024,Tlaltizapán de Zapata,Morelos,16
MX17025,Tlaquiltenango,Morelos,15
MX17026,Tlayacapan,Morelos,8
MX17027,Totolapan,Morelos,3
MX17028,Xochitepec,Morelos,21
MX17029,Yautepec,Morelos,34
MX17030,Yecapixtla,Morelos,14
MX17031,Zacatepec,Morelos,17
MX17032,Zacualpan,Morelos,3
MX17033,Temoac,Morelos,5
MX18001,Acaponeta,Nayarit,25
MX18002,Ahuacatlán,Nayarit,9
MX18003,Amatlán de Cañas,Nayarit,7
MX18004,Compostela,Nayarit,34
MX18005,Huajicori,Nayarit,10
MX18006,Ixtlán del Río,Nayarit,13
MX18007,Jala,Nayarit,11
MX18008,Xalisco,Nayarit,19
MX18009,Del Nayar,Nayarit,34
MX18010,Rosamorada,Nayarit,19
MX18011,Ruíz,Nayarit,13
MX18012,San Blas,Nayarit,18
MX18013,San Pedro Lagunillas,Nayarit,5
MX18014,Santa María del Oro,Nayarit,8
MX18015,Santiago Ixcuintla,Nayarit,44
MX18016,Tecuala,Nayarit,18
MX18017,Tepic,Nayarit,131
MX18018,Tuxpan,Nayarit,17
MX18019,La Yesca,Nayarit,10
MX18020,Bahía de Banderas,Nayarit,49
MX19001,Abasolo,Nuevo León,1
MX19002,Agualeguas,Nuevo León,6
MX19004,Allende,Nuevo León,15
MX19005,Anáhuac,Nuevo León,8
MX19006,Apodaca,Nuevo León,120
MX19007,Aramberri,Nuevo León,15
MX19008,Bustamante,Nuevo León,1
MX19009,Cadereyta Jiménez,Nuevo León,35
MX19010,El Carmen,Nuevo León,13
MX19011,Cerralvo,Nuevo León,5
MX19012,Ciénega de Flores,Nuevo León,8
MX19013,China,Nuevo León,8
MX19014,Doctor Arroyo,Nuevo León,39
MX19015,Doctor Coss,Nuevo León,1
MX19016,Doctor González,Nuevo León,2
MX19017,Galeana,Nuevo León,34
MX19018,García,Nuevo León,37
MX19019,San Pedro Garza García,Nuevo León,67
MX19020,General Bravo,Nuevo León,3
MX19021,General Escobedo,Nuevo León,80
MX19022,General Terán,Nuevo León,11
MX19023,General Treviño,Nuevo León,1
MX19024,General Zaragoza,Nuevo León,7
MX19025,General Zuazua,Nuevo León,9
MX19026,Guadalupe,Nuevo León,158
MX19027,Los Herreras,Nuevo León,1
MX19028,Higueras,Nuevo León,1
MX19029,Hualahuises,Nuevo León,4
MX19030,Iturbide,Nuevo León,4
MX19031,Juárez,Nuevo León,47
MX19032,Lampazos de Naranjo,Nuevo León,5
MX19033,Linares,Nuevo León,40
MX19034,Marín,Nuevo León,1
MX19035,Melchor Ocampo,Nuevo León,1
MX19036,Mier y Noriega,Nuevo León,7
MX19037,Mina,Nuevo León,2
MX19038,Montemorelos,Nuevo León,26
MX19039,Monterrey,Nuevo León,350
MX19040,Parás,Nuevo León,1
MX19041,Pesquería,Nuevo León,16
MX19042,Los Ramones,Nuevo León,4
MX19043,Rayones,Nuevo León,4
MX19044,Sabinas Hidalgo,Nuevo León,18
MX19045,Salinas Victoria,Nuevo León,14
MX19046,San Nicolás de los Garza,Nuevo León,116
MX19047,Hidalgo,Nuevo León,4
MX19048,Santa Catarina,Nuevo León,50
MX19049,Santiago,Nuevo León,24
MX19050,Vallecillo,Nuevo León,4
MX19051,Villaldama,Nuevo León,5
MX20001,Abejones,Oaxaca,1
MX20002,Acatlán de Pérez Figueroa,Oaxaca,12
MX20003,Asunción Cacalotepec,Oaxaca,1
MX20005,Asunción Ixtaltepec,Oaxaca,8
MX20006,Asunción Nochixtlán,Oaxaca,12
MX20007,Asunción Ocotlán,Oaxaca,1
MX20008,Asunción Tlacolulita,Oaxaca,1
MX20009,Ayotzintepec,Oaxaca,1
MX20010,El Barrio de la Soledad,Oaxaca,5
MX20012,Candelaria Loxicha,Oaxaca,2
MX20013,Ciénega de Zimatlán,Oaxaca,1
MX20014,Ciudad Ixtepec,Oaxaca,11
MX20015,Coatecas Altas,Oaxaca,2
MX20016,Coicoyán de las Flores,Oaxaca,4
MX20017,La Compañía,Oaxaca,2
MX20018,Concepción Buenavista,Oaxaca,1
MX20019,Concepción Pápalo,Oaxaca,1
MX20021,Cosolapa,Oaxaca,6
MX20023,Cuilápam de Guerrero,Oaxaca,5
MX20024,Cuyamecalco Villa de Zaragoza,Oaxaca,1
MX20025,Chahuites,Oaxaca,2
MX20026,Chalcatongo de Hidalgo,Oaxaca,2
MX20028,Heroica Ciudad de Ejutla de Crespo,Oaxaca,3
MX20029,Eloxochitlán de Flores Magón,Oaxaca,2
MX20030,El Espinal,Oaxaca,5
MX20031,Tamazulápam del Espíritu Santo,Oaxaca,4
MX20033,Guadalupe Etla,Oaxaca,1
MX20034,Guadalupe de Ramírez,Oaxaca,1
MX20035,Guelatao de Juárez,Oaxaca,2
MX20036,Guevea de Humboldt,Oaxaca,4
MX20037,Mesones Hidalgo,Oaxaca,2
MX20039,Heroica Ciudad de Huajuapan de León,Oaxaca,30
MX20040,Huautepec,Oaxaca,1
MX20041,Huautla de Jiménez,Oaxaca,5
MX20042,Ixtlán de Juárez,Oaxaca,6
MX20043,Heroica Ciudad de Juchitán de Zaragoza,Oaxaca,38
MX20044,Loma Bonita,Oaxaca,13
MX20045,Magdalena Apasco,Oaxaca,2
MX20046,Magdalena Jaltepec,Oaxaca,1
MX20048,Magdalena Mixtepec,Oaxaca,1
MX20051,Magdalena Teitipac,Oaxaca,1
MX20052,Magdalena Tequisistlán,Oaxaca,1
MX20054,Magdalena Zahuatlán,Oaxaca,1
MX20055,Mariscala de Juárez,Oaxaca,1
MX20056,Mártires de Tacubaya,Oaxaca,1
MX20057,Matías Romero Avendaño,Oaxaca,18
MX20058,Mazatlán Villa de Flores,Oaxaca,6
MX20059,Miahuatlán de Porfirio Díaz,Oaxaca,8
MX20060,Mixistlán de la Reforma,Oaxaca,1
MX20061,Monjas,Oaxaca,1
MX20062,Natividad,Oaxaca,1
MX20063,Nazareno Etla,Oaxaca,2
MX20064,Nejapa de Madero,Oaxaca,2
MX20066,Santiago Niltepec,Oaxaca,4
MX20067,Oaxaca de Juárez,Oaxaca,170
MX20068,Ocotlán de Morelos,Oaxaca,9
MX20069,La Pe,Oaxaca,1
MX20070,Pinotepa de Don Luis,Oaxaca,1
MX20071,Pluma Hidalgo,Oaxaca,2
MX20072,San José del Progreso,Oaxaca,3
MX20073,Putla Villa de Guerrero,Oaxaca,13
MX20074,Santa Catarina Quioquitani,Oaxaca,1
MX20076,La Reforma,Oaxaca,1
MX20077,Reyes Etla,Oaxaca,2
MX20078,Rojas de Cuauhtémoc,Oaxaca,1
MX20079,Salina Cruz,Oaxaca,23
MX20081,San Agustín Atenango,Oaxaca,1
MX20082,San Agustín Chayuco,Oaxaca,1
MX20083,San Agustín de las Juntas,Oaxaca,4
MX20085,San Agustín Loxicha,Oaxaca,10
MX20087,San Agustín Yatareni,Oaxaca,2
MX20088,San Andrés Cabecera Nueva,Oaxaca,1
MX20089,San Andrés Dinicuiti,Oaxaca,1
MX20090,San Andrés Huaxpaltepec,Oaxaca,4
MX20091,San Andrés Huayápam,Oaxaca,2
MX20094,San Andrés Nuxiño,Oaxaca,2
MX20101,San Andrés Zabache,Oaxaca,1
MX20102,San Andrés Zautla,Oaxaca,1
MX20103,San Antonino Castillo Velasco,Oaxaca,1
MX20105,San Antonino Monte Verde,Oaxaca,2
MX20107,San Antonio de la Cal,Oaxaca,5
MX20108,San Antonio Huitepec,Oaxaca,2
MX20109,San Antonio Nanahuatípam,Oaxaca,1
MX20111,San Antonio Tepetlapa,Oaxaca,1
MX20112,San Baltazar Chichicápam,Oaxaca,1
MX20114,San Baltazar Yatzachi el Bajo,Oaxaca,1
MX20115,San Bartolo Coyotepec,Oaxaca,10
MX20122,San Bartolo Yautepec,Oaxaca,1
MX20123,San Bernardo Mixtepec,Oaxaca,1
MX20124,San Blas Atempa,Oaxaca,3
MX20125,San Carlos Yautepec,Oaxaca,7
MX20129,San Cristóbal Suchixtlahuaca,Oaxaca,1
MX20131,San Dionisio Ocotepec,Oaxaca,3
MX20133,San Esteban Atatlahuca,Oaxaca,1
MX20134,San Felipe Jalapa de Díaz,Oaxaca,5
MX20135,San Felipe Tejalápam,Oaxaca,2
MX20136,San Felipe Usila,Oaxaca,6
MX20137,San Francisco Cahuacuá,Oaxaca,2
MX20139,San Francisco Chapulapa,Oaxaca,3
MX20140,San Francisco Chindúa,Oaxaca,1
MX20141,San Francisco del Mar,Oaxaca,2
MX20142,San Francisco Huehuetlán,Oaxaca,2
MX20143,San Francisco Ixhuatán,Oaxaca,4
MX20145,San Francisco Lachigoló,Oaxaca,1
MX20148,San Francisco Ozolotepec,Oaxaca,1
MX20149,San Francisco Sola,Oaxaca,1
MX20150,San Francisco Telixtlahuaca,Oaxaca,6
MX20151,San Francisco Teopan,Oaxaca,1
MX20153,San Gabriel Mixtepec,Oaxaca,1
MX20154,San Ildefonso Amatlán,Oaxaca,2
MX20155,San Ildefonso Sola,Oaxaca,1
MX20156,San Ildefonso Villa Alta,Oaxaca,1
MX20157,San Jacinto Amilpas,Oaxaca,6
MX20158,San Jacinto Tlacotepec,Oaxaca,1
MX20159,San Jerónimo Coatlán,Oaxaca,4
MX20161,San Jerónimo Sosola,Oaxaca,3
MX20162,San Jerónimo Taviche,Oaxaca,1
MX20163,San Jerónimo Tecóatl,Oaxaca,2
MX20164,San Jorge Nuchita,Oaxaca,2
MX20165,San José Ayuquila,Oaxaca,1
MX20166,San José Chiltepec,Oaxaca,1
MX20170,San José Lachiguiri,Oaxaca,1
MX20171,San José Tenango,Oaxaca,7
MX20173,San Juan Atepec,Oaxaca,1
MX20174,Ánimas Trujano,Oaxaca,1
MX20176,San Juan Bautista Coixtlahuaca,Oaxaca,2
MX20177,San Juan Bautista Cuicatlán,Oaxaca,8
MX20178,San Juan Bautista Guelache,Oaxaca,2
MX20179,San Juan Bautista Jayacatlán,Oaxaca,1
MX20180,San Juan Bautista Lo de Soto,Oaxaca,2
MX20181,San Juan Bautista Suchitepec,Oaxaca,1
MX20184,San Juan Bautista Tuxtepec,Oaxaca,53
MX20185,San Juan Cacahuatepec,Oaxaca,1
MX20188,San Juan Colorado,Oaxaca,3
MX20189,San Juan Comaltepec,Oaxaca,1
MX20190,San Juan Cotzocón,Oaxaca,6
MX20191,San Juan Chicomezúchil,Oaxaca,1
MX20196,San Juan Evangelista Analco,Oaxaca,1
MX20198,San Juan Guichicovi,Oaxaca,10
MX20200,San Juan Juquila Mixes,Oaxaca,1
MX20201,San Juan Juquila Vijanos,Oaxaca,1
MX20202,San Juan Lachao,Oaxaca,3
MX20204,San Juan Lajarcia,Oaxaca,1
MX20205,San Juan Lalana,Oaxaca,2
MX20206,San Juan de los Cués,Oaxaca,1
MX20207,San Juan Mazatlán,Oaxaca,5
MX20208,San Juan Mixtepec -Dto. 08 -,Oaxaca,5
MX20209,San Juan Mixtepec -Dto. 26 -,Oaxaca,1
MX20210,San Juan Ñumí,Oaxaca,5
MX20211,San Juan Ozolotepec,Oaxaca,3
MX20212,San Juan Petlapa,Oaxaca,1
MX20213,San Juan Quiahije,Oaxaca,1
MX20216,San Juan Tabaá,Oaxaca,1
MX20217,San Juan Tamazola,Oaxaca,2
MX20219,San Juan Teitipac,Oaxaca,1
MX20220,San Juan Tepeuxila,Oaxaca,1
MX20222,San Juan Yaeé,Oaxaca,1
MX20223,San Juan Yatzona,Oaxaca,1
MX20224,San Juan Yucuita,Oaxaca,1
MX20226,San Lorenzo Albarradas,Oaxaca,1
MX20227,San Lorenzo Cacaotepec,Oaxaca,6
MX20228,San Lorenzo Cuaunecuiltitla,Oaxaca,1
MX20229,San Lorenzo Texmelúcan,Oaxaca,2
MX20230,San Lorenzo Victoria,Oaxaca,1
MX20231,San Lucas Camotlán,Oaxaca,1
MX20232,San Lucas Ojitlán,Oaxaca,4
MX20233,San Lucas Quiaviní,Oaxaca,1
MX20234,San Lucas Zoquiápam,Oaxaca,2
MX20235,San Luis Amatlán,Oaxaca,1
MX20239,San Martín Huamelúlpam,Oaxaca,1
MX20240,San Martín Itunyoso,Oaxaca,1
MX20242,San Martín Peras,Oaxaca,3
MX20243,San Martín Tilcajete,Oaxaca,1
MX20244,San Martín Toxpalan,Oaxaca,3
MX20245,San Martín Zacatepec,Oaxaca,1
MX20246,San Mateo Cajonos,Oaxaca,1
MX20247,Capulálpam de Méndez,Oaxaca,1
MX20248,San Mateo del Mar,Oaxaca,2
MX20249,San Mateo Yoloxochitlán,Oaxaca,1
MX20250,San Mateo Etlatongo,Oaxaca,1
MX20251,San Mateo Nejápam,Oaxaca,1
MX20252,San Mateo Peñasco,Oaxaca,1
